2743624,NL,03,0297,51.80917,5.13611,,Gelderland,Zaltbommel,,Zuilichem,Zuilichem,Zuelichem,1245,5305
2743673,NL,07,0370,52.51667,4.94583,,Noord-Holland,Beemster,,Zuidoostbeemster,Zuidoostbeemster,,0,1461
2743904,NL,07,1911,52.7425,4.83889,,Noord-Holland,Hollands Kroon,,Zijdewind,Zijdewind,Zijdewinne,290,1736
2750769,NL,06,1709,51.70167,4.62639,,Noord-Brabant,Moerdijk,,Moerdijk,Moerdijk,Moerdijk,1030,"4781,4782"
2750838,NL,01,1730,53.11,6.67778,,Drenthe,Tynaarlo,,Midlaren,Midlaren,,185,9475
2756598,NL,07,0453,52.44667,4.6375,,Noord-Holland,Velsen,,Driehuis NH,Driehuis,Driehuis NH,0,1985
2759266,NL,07,0394,52.28667,4.59583,,Noord-Holland,Haarlemmermeer,,Beinsdorp,Beinsdorp,,880,2144
2759486,NL,02,0086,53.08072,6.25671,,Friesland,Opsterland,,Bakkeveen,Bakkeveen,"Bakkefean,Bakkeveen",1450,9243
2745757,NL,01,1690,52.67,6.36944,,Drenthe,De Wolden,,Veeningen,Veeningen,"Veeninger,Veningen",300,7924
2748448,NL,06,0758,51.59833,4.7125,,Noord-Brabant,Breda,,Prinsenbeek,Prinsenbeek,,10720,4841
2750779,NL,02,0058,53.40232,6.08265,,Friesland,Dongeradeel,,Moddergat,Moddergat,Moddergat,215,9142
2753460,NL,04,0024,53.345,6.67361,,Groningen,Loppersum,,Huizinge,Huizinge,,105,9992
2754368,NL,03,0294,51.9825,6.75833,,Gelderland,Winterswijk,,Winterswijk Henxel,Winterswijk Henxel,"Hengsel,Henzel",0,7113
2754394,NL,15,0164,52.26583,6.79306,,Overijssel,Hengelo,,Hengelo,Hengelo,"Hemgelo,Hengelo,Hengeloo",80809,"7556,7554,7553,7552,7558,7551,7559,7557,7555"
2755712,NL,01,1680,52.98833,6.85278,,Drenthe,Aa en Hunze,,Gasselternijveen,Gasselternijveen,Gasselternijeveen,1780,"9515,9514"
2755720,NL,04,0024,53.36833,6.71389,,Groningen,Loppersum,,Garsthuizen,Garsthuizen,Garshuizen,0,9923
2744484,NL,07,0375,52.4936,4.59409,,Noord-Holland,Beverwijk,,Wijk aan Zee,Wijk aan Zee,,2095,1949
2745396,NL,06,0797,51.6975,5.21667,,Noord-Brabant,Heusden,,Vlijmen,Vlijmen,,0,"5252,5251"
2745743,NL,02,1891,53.23558,5.98832,,Friesland,Dantumadiel,,Feanwâlden,Feanwâlden,"Feanwalden,Feanwâlden,Veenwouden,fynfaldn,فينفالدن",3440,9269
2746000,NL,01,1701,52.79,6.28056,,Drenthe,Westerveld,,Uffelte,Uffelte,,1235,7975
2750453,NL,06,0874,51.78333,5.05833,,Noord-Brabant,Woudrichem,,Andel,Andel,Andel,2245,4281
2751586,NL,01,1690,52.63917,6.44861,,Drenthe,De Wolden,,Linde,Linde,,110,7925
2753390,NL,02,1940,52.92877,5.71323,,Friesland,De Fryske Marren,,Idskenhuizen,Idskenhuizen,"Idskenhuizen,Jiskenhuzen,Taskenhuizen",490,8523
